"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
1,3652.19702235871,"0",32,"3",13,30955,"Yes",111256,"No","F","High School","Clerical",9,"Private",7800,4,"SUV","no",0,"0","Yes",0,8,"Highly Urban/ Urban"
0,0,"0",49,"1",15,89612,"No",261946,"Yes","M","Masters","Professional",23,"Commercial",6400,10,"Pickup","yes",0,"0","No",0,23,"Highly Urban/ Urban"
0,0,"0",41,"0",12,80718,"No",0,"No","F","Bachelors","Professional",29,"Private",26480,11,"Sports Car","no",8623,"3","No",5,8,"Highly Urban/ Urban"
1,3971.30988091607,"1",44,"2",15,46140,"No",169084,"Yes","M","High School","Blue Collar",29,"Commercial",10510,1,"Pickup","no",4276,"3","No",7,1,"Highly Urban/ Urban"
0,0,"0",47,"0",12,80105,"No",0,"No","M","Masters","Manager",29,"Private",14210,6,"Minivan","yes",0,"0","No",1,12,"Highly Urban/ Urban"
0,0,"2",41,"2",8,51778,"No",0,"Yes","M","<High School","Student",43,"Commercial",5850,1,"Pickup","yes",9419,"1","No",5,6,"Highly Rural/ Rural"
0,0,"0",41,"2",10,78675,"Yes",265450,"No","M","Bachelors","Blue Collar",33,"Commercial",13470,11,"Minivan","yes",0,"0","No",0,3,"Highly Urban/ Urban"
0,0,"0",50,"0",10,219024,"No",0,"No","M","PhD","Unknown",27,"Commercial",23370,4,"Panel Truck","yes",4117,"2","No",4,20,"Highly Urban/ Urban"
0,0,"0",51,"0",10,55573,"No",0,"No","F","Masters","Lawyer",18,"Private",12160,1,"SUV","no",9768,"1","No",6,14,"Highly Urban/ Urban"
0,0,"0",53,"0",8,61862,"No",245885,"Yes","M","PhD","Doctor",33,"Private",11270,1,"Pickup","yes",0,"0","No",0,14,"Highly Urban/ Urban"
1,3545.7868790814,"0",32,"3",14,21944,"No",128776,"Yes","F","<High School","Blue Collar",34,"Private",7270,1,"SUV","no",0,"0","Yes",1,1,"Highly Urban/ Urban"
0,0,"0",48,"0",14,42008,"No",176219,"Yes","F","Masters","Lawyer",23,"Private",10000,4,"SUV","no",0,"0","No",0,14,"Highly Rural/ Rural"
0,0,"0",54,"0",8,90149,"No",261569,"Yes","F","Masters","Manager",17,"Private",15910,4,"SUV","no",0,"0","No",1,10,"Highly Urban/ Urban"
1,4936.07545669487,"0",55,"0",15,75249,"No",0,"No","M","Masters","Unknown",5,"Commercial",17020,1,"Van","yes",1316,"2","No",1,21,"Highly Urban/ Urban"
0,0,"0",51,"0",11,117016,"No",0,"No","F","Masters","Manager",23,"Private",20320,4,"Minivan","no",1197,"2","No",6,8,"Highly Urban/ Urban"
0,0,"0",47,"0",7,76462,"No",229334,"Yes","M","Bachelors","Professional",29,"Private",13850,6,"Minivan","yes",0,"0","No",0,7,"Highly Urban/ Urban"
0,0,"0",44,"1",11,0,"No",70461,"Yes","F","Masters","Home Maker",19,"Private",2640,4,"Sports Car","no",2219,"2","No",1,13,"Highly Urban/ Urban"
1,3576.19782160367,"0",36,"0",13,20891,"No",134406,"Yes","F","High School","Blue Collar",39,"Commercial",5100,1,"SUV","no",2949,"2","No",9,7,"Highly Urban/ Urban"
1,4685.39907014461,"0",35,"2",10,17493,"Yes",102902,"No","F","<High School","Clerical",52,"Private",19340,9,"Minivan","no",5658,"3","No",7,1,"Highly Urban/ Urban"
0,0,"0",43,"0",11,39848,"No",136304,"No","F","Masters","Lawyer",45,"Private",18060,8,"SUV","no",0,"0","No",0,15,"Highly Urban/ Urban"
0,0,"0",42,"1",12,117978,"Yes",0,"No","F","Bachelors","Blue Collar",17,"Commercial",28700,1,"SUV","no",0,"0","No",0,7,"Highly Rural/ Rural"
0,0,"0",56,"0",12,62483,"No",158840,"Yes","F","Bachelors","Manager",18,"Private",20940,6,"Minivan","no",0,"0","No",0,8,"Highly Urban/ Urban"
0,0,"0",39,"0",14,73367,"No",0,"No","M","Bachelors","Professional",36,"Private",12740,6,"Minivan","yes",3320,"1","No",4,7,"Highly Urban/ Urban"
1,4051.96879289035,"0",32,"4",15,4478,"Yes",0,"No","F","<High School","Student",7,"Private",6780,4,"SUV","no",7181,"3","No",5,8,"Highly Urban/ Urban"
0,0,"0",44,"1",9,5952,"No",0,"Yes","M","Bachelors","Student",22,"Commercial",6500,4,"Pickup","yes",0,"0","No",0,10,"Highly Urban/ Urban"
1,3392.35605992384,"0",44,"1",11,75046,"No",244819,"Yes","M","High School","Blue Collar",56,"Commercial",9000,4,"Pickup","yes",3288,"3","No",6,10,"Highly Urban/ Urban"
0,0,"0",38,"0",10,75432,"No",0,"No","F","Bachelors","Manager",51,"Private",16260,1,"SUV","no",8035,"3","No",0,13,"Highly Urban/ Urban"
0,0,"0",35,"3",13,64872,"No",187354,"Yes","F","<High School","Clerical",44,"Private",11490,1,"SUV","no",0,"0","No",3,8,"Highly Urban/ Urban"
0,0,"0",55,"0",14,66964,"No",0,"No","M","Masters","Lawyer",47,"Private",13700,6,"Minivan","yes",6183,"3","No",3,18,"Highly Urban/ Urban"
0,0,"0",42,"2",11,34210,"No",186734,"Yes","M","High School","Clerical",34,"Private",12880,6,"Minivan","yes",1830,"1","No",0,1,"Highly Urban/ Urban"
0,0,"1",43,"2",11,24124,"No",157794,"Yes","F","<High School","Blue Collar",40,"Private",8140,7,"SUV","no",0,"0","No",0,1,"Highly Rural/ Rural"
1,3425.67762692045,"0",44,"0",12,39852,"No",125283,"Yes","F","High School","Blue Collar",37,"Commercial",7410,1,"SUV","no",3704,"2","No",0,6,"Highly Urban/ Urban"
0,0,"0",51,"0",13,65702,"No",0,"No","F","Masters","Lawyer",27,"Private",15820,1,"SUV","no",7181,"2","No",3,1,"Highly Urban/ Urban"
0,0,"0",34,"1",12,68833,"No",183087,"Yes","F","Bachelors","Clerical",35,"Commercial",21940,4,"Pickup","no",1494,"2","No",3,9,"Highly Urban/ Urban"
0,0,"1",40,"2",6,54159,"No",180764,"Yes","M","<High School","Blue Collar",65,"Private",16920,10,"Van","yes",0,"0","No",1,1,"Highly Rural/ Rural"
0,0,"0",37,"3",17,6217,"No",0,"Yes","F","High School","Student",27,"Commercial",22260,10,"Pickup","no",0,"0","Yes",0,4,"Highly Urban/ Urban"
1,4290.0201171233,"0",58,"0",14,39707,"No",192089,"Yes","M","<High School","Blue Collar",29,"Commercial",16870,1,"Van","yes",3546,"1","No",6,6,"Highly Urban/ Urban"
0,0,"0",50,"0",10,24358,"No",128210,"Yes","M","<High School","Blue Collar",11,"Private",17790,3,"Van","no",0,"0","Yes",0,7,"Highly Urban/ Urban"
0,0,"0",46,"0",7,106409,"No",0,"No","F","Masters","Unknown",42,"Commercial",24410,6,"Pickup","no",6948,"1","No",0,18,"Highly Urban/ Urban"
0,0,"0",53,"0",14,59797,"No",178230,"Yes","F","PhD","Doctor",35,"Private",18070,4,"Minivan","no",0,"0","No",0,16,"Highly Urban/ Urban"
1,4002.83542420149,"0",63,"2",10,52064,"No",158840,"Yes","F","High School","Blue Collar",16,"Commercial",11770,1,"Sports Car","no",834,"2","No",8,1,"Highly Urban/ Urban"
0,0,"0",53,"0",7,77012,"No",316239,"Yes","M","PhD","Doctor",22,"Private",21440,1,"Van","no",8744,"2","No",0,13,"Highly Urban/ Urban"
0,0,"0",36,"0",11,17085,"No",0,"Yes","F","High School","Student",58,"Private",15840,7,"Sports Car","no",4070,"2","No",2,1,"Highly Rural/ Rural"
0,0,"0",43,"0",13,238856,"No",158840,"Yes","M","Masters","Unknown",19,"Commercial",29690,11,"Panel Truck","yes",0,"0","No",0,22,"Highly Urban/ Urban"
0,0,"0",54,"0",12,69625,"No",271183,"Yes","F","Bachelors","Manager",51,"Private",22340,1,"SUV","no",3155,"1","No",2,12,"Highly Urban/ Urban"
0,0,"0",39,"3",16,42535,"No",189139,"Yes","M","High School","Clerical",22,"Commercial",19330,4,"Van","yes",0,"0","No",1,8,"Highly Rural/ Rural"
0,0,"1",43,"2",14,81674,"No",233744,"Yes","M","Bachelors","Manager",39,"Commercial",34680,1,"Panel Truck","no",0,"0","No",1,10,"Highly Urban/ Urban"
0,0,"0",51,"0",13,34658,"No",159187,"Yes","M","Bachelors","Professional",31,"Private",15660,1,"Minivan","no",0,"0","No",0,11,"Highly Rural/ Rural"
0,0,"0",42,"0",0,0,"No",0,"No","F","High School","Home Maker",5,"Private",25540,1,"Sports Car","no",0,"0","No",0,1,"Highly Urban/ Urban"
0,0,"0",41,"0",6,86227,"No",237057,"No","M","Masters","Unknown",28,"Commercial",19530,9,"Van","no",2948,"3","No",2,17,"Highly Urban/ Urban"
0,0,"0",35,"1",12,77126,"No",242001,"Yes","M","High School","Manager",5,"Commercial",11510,10,"Pickup","yes",3079,"3","No",0,1,"Highly Urban/ Urban"
0,0,"0",35,"2",0,0,"No",0,"Yes","F","<High School","Student",32,"Private",4810,1,"SUV","no",0,"0","No",0,6,"Highly Urban/ Urban"
0,0,"1",41,"3",5,30043,"Yes",158840,"No","M","High School","Clerical",22,"Private",16860,4,"Van","yes",0,"0","No",0,1,"Highly Urban/ Urban"
0,0,"0",43,"0",14,54932,"No",225678,"Yes","M","High School","Clerical",37,"Commercial",11290,4,"Pickup","yes",5076,"3","No",5,1,"Highly Urban/ Urban"
1,3873.64319411988,"0",42,"0",8,94591,"No",309644,"No","M","<High School","Blue Collar",21,"Commercial",17470,6,"Van","yes",16121,"3","Yes",3,8,"Highly Urban/ Urban"
0,0,"1",56,"2",17,51778,"No",315504,"Yes","F","Bachelors","Professional",32,"Private",28740,1,"Minivan","no",0,"0","No",1,6,"Highly Urban/ Urban"
0,0,"0",40,"1",13,79715,"Yes",0,"No","F","Bachelors","Clerical",6,"Private",23140,10,"Minivan","no",0,"0","No",0,7,"Highly Urban/ Urban"
0,0,"0",51,"0",12,40760,"No",186223,"No","M","Bachelors","Professional",24,"Private",11880,1,"Pickup","no",0,"0","No",0,8,"Highly Urban/ Urban"
0,0,"0",38,"0",10,28409,"No",0,"No","M","High School","Clerical",27,"Commercial",8140,10,"Pickup","yes",0,"0","No",1,7,"Highly Rural/ Rural"
1,4143.19735573103,"0",27,"3",9,69794,"Yes",0,"No","F","Bachelors","Professional",24,"Private",14660,4,"SUV","no",2848,"1","No",3,6,"Highly Urban/ Urban"
0,0,"1",42,"2",15,85408,"No",274402,"Yes","F","High School","Blue Collar",32,"Commercial",20170,10,"Minivan","no",697,"2","No",0,8,"Highly Urban/ Urban"
1,3804.40936085986,"0",55,"0",11,3865,"No",0,"No","F","<High School","Home Maker",27,"Private",16600,1,"SUV","no",6089,"2","Yes",0,1,"Highly Urban/ Urban"
0,0,"0",43,"0",7,58112,"No",0,"No","M","Bachelors","Clerical",34,"Private",1500,4,"Minivan","yes",0,"0","No",2,11,"Highly Rural/ Rural"
0,0,"0",54,"0",12,65298,"No",213225,"Yes","F","High School","Clerical",5,"Private",8030,17,"SUV","no",4528,"3","No",5,1,"Highly Urban/ Urban"
0,0,"1",37,"2",9,54349,"No",212419,"Yes","F","High School","Manager",28,"Private",10630,13,"SUV","no",1381,"1","No",4,11,"Highly Urban/ Urban"
1,4096.02864684192,"0",44,"0",12,51778,"No",0,"No","F","High School","Blue Collar",32,"Commercial",10770,1,"SUV","no",0,"0","No",2,8,"Highly Urban/ Urban"
0,0,"0",44,"2",7,20324,"No",147038,"Yes","F","High School","Clerical",20,"Private",10280,1,"Sports Car","no",0,"0","No",0,1,"Highly Rural/ Rural"
0,0,"2",37,"3",11,159092,"No",382687,"Yes","M","Bachelors","Blue Collar",29,"Private",15050,6,"Minivan","yes",1927,"3","No",0,8,"Highly Rural/ Rural"
1,3679.7725443718,"0",31,"2",0,0,"No",0,"Yes","F","<High School","Student",48,"Private",7740,4,"Sports Car","no",7323,"1","No",7,1,"Highly Urban/ Urban"
1,3525.88017878241,"2",36,"2",0,0,"No",110346,"Yes","F","High School","Home Maker",28,"Private",5100,4,"Minivan","no",39425,"3","Yes",1,9,"Highly Urban/ Urban"
0,0,"0",54,"0",12,77267,"No",0,"No","F","Bachelors","Manager",14,"Private",14630,1,"SUV","no",8395,"2","No",0,9,"Highly Urban/ Urban"
0,0,"0",39,"0",0,0,"No",0,"No","F","High School","Student",53,"Commercial",5500,1,"Sports Car","no",0,"0","No",0,8,"Highly Rural/ Rural"
1,3571.0605988201,"1",57,"2",0,0,"No",0,"Yes","M","High School","Student",29,"Private",9240,1,"Pickup","yes",8336,"2","Yes",5,1,"Highly Urban/ Urban"
1,3576.30323106641,"0",34,"2",0,0,"Yes",0,"No","F","High School","Student",22,"Private",11520,9,"SUV","no",0,"0","Yes",0,9,"Highly Urban/ Urban"
0,0,"0",48,"0",10,7302,"No",158840,"No","F","<High School","Student",27,"Private",7030,10,"SUV","no",3564,"1","No",3,1,"Highly Urban/ Urban"
0,0,"0",52,"0",15,88691,"No",279497,"Yes","M","Bachelors","Blue Collar",40,"Private",18200,4,"Van","yes",1261,"4","No",2,10,"Highly Urban/ Urban"
1,3508.44051723595,"1",58,"2",17,3272,"No",0,"Yes","M","<High School","Student",42,"Private",7200,1,"Minivan","yes",5086,"2","No",2,5,"Highly Urban/ Urban"
0,0,"0",45,"0",14,65466,"No",212677,"Yes","M","High School","Blue Collar",24,"Commercial",7080,3,"Pickup","no",0,"0","No",2,1,"Highly Urban/ Urban"
0,0,"0",72,"0",16,63890,"No",256797,"Yes","F","Masters","Lawyer",41,"Private",9100,7,"Sports Car","no",4448,"3","No",0,6,"Highly Urban/ Urban"
0,0,"0",48,"0",8,43075,"No",175858,"Yes","F","High School","Manager",52,"Private",13970,4,"SUV","no",5878,"2","No",3,11,"Highly Urban/ Urban"
0,0,"0",49,"0",9,90658,"No",276028,"No","F","Bachelors","Blue Collar",7,"Commercial",12350,13,"Minivan","no",0,"0","No",0,7,"Highly Urban/ Urban"
0,0,"0",57,"0",14,200772,"No",465304,"No","F","PhD","Doctor",27,"Private",9270,1,"SUV","no",0,"0","No",0,8,"Highly Urban/ Urban"
0,0,"0",22,"0",11,36821,"No",193948,"No","F","Masters","Unknown",23,"Private",29390,6,"Pickup","no",8502,"2","No",0,20,"Highly Urban/ Urban"
0,0,"0",53,"0",13,108744,"No",333039,"Yes","M","Masters","Unknown",5,"Commercial",5430,1,"Pickup","yes",3267,"1","No",0,8,"Highly Urban/ Urban"
0,0,"0",50,"0",14,30795,"No",174778,"Yes","M","High School","Clerical",53,"Commercial",8920,6,"Pickup","yes",0,"0","No",0,1,"Highly Rural/ Rural"
0,0,"0",59,"0",12,155410,"No",422815,"Yes","M","Bachelors","Manager",40,"Commercial",33330,7,"Panel Truck","yes",4765,"3","No",4,10,"Highly Urban/ Urban"
0,0,"0",33,"3",7,51778,"No",147326,"Yes","F","<High School","Blue Collar",38,"Private",22520,5,"Minivan","no",3075,"1","No",6,1,"Highly Urban/ Urban"
1,3981.38780711187,"0",48,"0",11,26875,"No",0,"No","M","High School","Clerical",18,"Commercial",10450,1,"Pickup","no",3830,"1","No",8,6,"Highly Urban/ Urban"
1,4082.7806514918,"1",42,"3",11,99269,"Yes",306012,"No","M","Bachelors","Professional",34,"Commercial",25910,7,"Panel Truck","yes",45894,"2","Yes",1,10,"Highly Urban/ Urban"
0,0,"0",50,"0",11,102262,"No",0,"No","M","High School","Blue Collar",39,"Commercial",16730,14,"Van","yes",0,"0","No",0,8,"Highly Rural/ Rural"
0,0,"0",53,"0",2,13753,"No",0,"No","F","<High School","Home Maker",49,"Private",2880,4,"Sports Car","no",0,"0","No",1,8,"Highly Rural/ Rural"
0,0,"0",49,"0",9,60368,"No",170643,"Yes","M","Bachelors","Manager",16,"Private",6400,4,"Pickup","no",0,"0","No",0,4,"Highly Urban/ Urban"
1,4502.97533217434,"0",21,"1",8,18483,"Yes",0,"No","F","High School","Clerical",20,"Private",8150,1,"Sports Car","no",7781,"2","No",3,1,"Highly Urban/ Urban"
0,0,"0",50,"0",9,58628,"No",0,"No","M","Masters","Lawyer",14,"Private",12360,1,"Minivan","yes",0,"0","No",0,15,"Highly Urban/ Urban"
0,0,"0",53,"0",0,0,"No",105085,"Yes","M","Masters","Home Maker",31,"Private",6800,11,"Pickup","yes",0,"0","No",0,14,"Highly Urban/ Urban"
0,0,"0",49,"0",2,81280,"No",241420,"Yes","M","Bachelors","Professional",24,"Private",14530,1,"Minivan","no",0,"0","No",0,6,"Highly Urban/ Urban"
1,3096.12014686515,"1",38,"2",13,38317,"No",125157,"Yes","F","PhD","Doctor",44,"Private",1500,1,"Sports Car","no",2896,"1","No",8,8,"Highly Urban/ Urban"
0,0,"0",53,"0",11,70026,"No",0,"No","F","Masters","Lawyer",39,"Private",18780,10,"Pickup","no",0,"0","No",0,11,"Highly Urban/ Urban"
0,0,"0",49,"0",8,51778,"No",0,"No","M","Masters","Lawyer",26,"Private",12910,4,"Minivan","no",0,"0","No",0,17,"Highly Urban/ Urban"
0,0,"0",48,"0",8,134140,"No",0,"No","M","PhD","Manager",34,"Commercial",30240,1,"Panel Truck","no",7478,"2","No",6,13,"Highly Urban/ Urban"
0,0,"0",53,"0",13,51778,"No",499433,"Yes","M","PhD","Doctor",26,"Private",14610,6,"Minivan","no",0,"0","No",0,5,"Highly Urban/ Urban"
0,0,"0",51,"0",4,72453,"No",0,"No","F","PhD","Doctor",52,"Private",13850,1,"SUV","no",2847,"4","No",7,15,"Highly Urban/ Urban"
0,0,"2",37,"2",5,51778,"No",235987,"Yes","M","Bachelors","Clerical",50,"Private",11270,1,"Minivan","yes",0,"0","No",3,1,"Highly Urban/ Urban"
1,5319.88570792174,"0",26,"3",13,14822,"Yes",158840,"No","F","<High School","Clerical",5,"Private",8830,10,"Sports Car","no",7486,"3","No",9,1,"Highly Urban/ Urban"
0,0,"0",47,"0",0,0,"No",56266,"Yes","F","Bachelors","Home Maker",32,"Private",6200,1,"SUV","no",0,"0","Yes",0,1,"Highly Urban/ Urban"
0,0,"0",48,"0",13,78966,"No",0,"No","F","Bachelors","Professional",39,"Private",21420,6,"Sports Car","no",0,"0","No",3,8,"Highly Urban/ Urban"
0,0,"0",51,"0",13,51513,"No",0,"No","M","Masters","Lawyer",42,"Private",6650,4,"Minivan","no",33388,"2","Yes",4,17,"Highly Urban/ Urban"
0,0,"0",33,"0",11,51778,"No",122916,"No","F","High School","Home Maker",47,"Private",12400,20,"Minivan","no",5531,"2","No",6,1,"Highly Rural/ Rural"
0,0,"0",58,"0",12,69282,"No",295989,"Yes","M","Bachelors","Professional",47,"Private",10520,6,"Pickup","no",1142,"1","No",0,13,"Highly Urban/ Urban"
1,4021.50806402785,"0",30,"0",10,27803,"No",0,"No","F","High School","Clerical",41,"Private",7280,4,"Minivan","no",6322,"2","No",5,8,"Highly Urban/ Urban"
1,4041.3741288546,"0",50,"0",8,34611,"No",0,"No","F","High School","Clerical",47,"Private",12760,1,"Minivan","no",3908,"2","No",4,8,"Highly Urban/ Urban"
